legal_company_name,user_input,label
CAIXA DE ASSISTENCIA DOS ADVOGADOS DE SAO PAULO - CAASPSHOP,CAIXA ASSISTENCIA,0
CAIXA DE ASSISTENCIA DOS ADVOGADOS DE SAO PAULO - CAASP SANTANA,CAIXA ASSISTENCIA,1
BANCO BRADESCO S.A. - BRADESCO AG. PRIME VILA OLIMPIA,BRADESCO AG. P. OLINPIA,0
"BANCO BRADESCO S.A. - BRADESCO AG. ULIANOPOLIS, PA",BRADESCO AG. P. OLINPIA,1
"BANCO BRADESCO S.A. - BRADESCO PA SANTA MARIA DO SUACUI, MG",BRADESCO SANTA MARIA,0
"BANCO BRADESCO S.A. - BRADESCO PA VILA MARIA - URB. SAO PAULO, SP",BRADESCO SANTA MARIA,1
MITRA ARQUIDIOCESANA DE SAO PAULO - PAROQUIA SANTO ANTONIO,MITRA SANTO,0
MITRA ARQUIDIOCESANA DE SAO PAULO - PAROQUIA SANTA CRUZ DAS ALMAS,MITRA SANTO,1
"BANCO BRADESCO S.A. - BRADESCO PA NUCLEO BANDEIRANTE - BRASILIA, DF",BRADESCO PA NUCLEO,0
"BANCO BRADESCO S.A. - BRADESCO PA PERITORO, MA",BRADESCO PA NUCLEO,1
BANCO BRADESCO S.A. - BRADESCO AG. PARINTINS EST UNIF,BRADESCO AG.,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO AG.,1
"BANCO BRADESCO S.A. - BRADESCO PA AVENIDA ADOLFO PINHEIRO - URB SAO PAULO, SP",BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO,1
DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS - PANVEL FARMACIAS,PANBEL FARAMASIA,0
DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS - PANVEL FARMACIA,PANBEL FARAMASIA,1
BANCO BRADESCO S.A. - BRADESCO NEXT XVIII,BRADESCO NXT XBIII,0
"BANCO BRADESCO S.A. - BRADESCO PA SAO JORGE DO IVAI, PR",BRADESCO NXT XBIII,1
