sentence1,score,sentence2
lissa z modas ltda - lissa z modas,0.4108259081840515,unib das tintas
veste sa estilo - le lis blanc beaute,0.37912145256996155,unib das tintas
lux solis energy ltda - lux solis energy,0.37427976727485657,unib das tintas
tarjab incorporadora ltda - edificio estilo saude,0.3723595142364502,unib das tintas
sao paulo secretaria da educacao - diretoria de ensino regiao de lins,0.3710743486881256,unib das tintas
lre universo das tintas ltda - universo das tintas,1.0,unib das tintas
congregacao crista no brasil - congregacao crista no brasil de nova olimpia,0.956422746181488,congregacao brasil crista
congregacao crista no brasil - congregacacao crista no brasil,0.9564069509506226,congregacao brasil crista
congregacao crista no brasil - congregacao crista no brasil  retiro,0.9534821510314941,congregacao brasil crista
congregacao crista no brasil - congregao crista no brasil,0.9419078230857849,congregacao brasil crista
congregacao crista no brasil - casa de oracao  mendonca  central,0.9419078230857849,congregacao brasil crista
congregacao crista no brasil - congregacao crista no brasil,1.0,congregacao brasil crista
banco santander brasil sa - campo belo ispsp,0.6804711222648621,canpo belo
sociedade educacional iesp  sao paulo ltda - unidade de ensino iesp  colinas do tocantis,0.6479663848876953,canpo belo
bolognesi empreendimentos ltda - cond fazenda esperanca 77  campo belo ii  lt 17 q f1,0.6318061947822571,canpo belo
bolognesi empreendimentos ltda - cond fazenda esperanca 250 campo belo iii lt 06 q g3,0.6318061947822571,canpo belo
bolognesi empreendimentos ltda - cond fazenda esperanca 273 campo belo iii lt 55 q i2,0.6318061947822571,canpo belo
instituto educacional de sao paulo ltda - iesp campo belo,1.0,canpo belo
mitra arquidiocesana de londrina - paroquia de santo antonio,0.9382604956626892,mitra santo
mitra diocesana de santo andre - paroquia de santo antonio,0.9346387982368469,mitra santo
arquidiocese de campinas - paroquia santo antonio de santana galvao,0.9143416881561279,mitra santo
mitra da arquidiocese de porto alegre - paroquia santo antonio,0.8398056626319885,mitra santo
mitra diocesana de campo mourao - paroquia santo antonio,0.8001774549484253,mitra santo
mitra arquidiocesana de sao paulo - paroquia santo antonio,1.0,mitra santo
fundo municipal do idoso - fundo municipal do idoso  mara rosa,0.9446753263473511,fundo mun idoso
fundo municipal de direitos do idoso - fundo municipal do idoso,0.9446753263473511,fundo mun idoso
fundo municipal de direitos do idoso - fundo municipal do idoso municipio de urucui  pi,0.9446751475334167,fundo mun idoso
fundo municipal de direitos do idoso - fundo idoso de vista gauchars,0.9398927092552185,fundo mun idoso
fundo municipal de direitos do idoso - conselho municipal de direito dos idosos,0.9296019077301025,fundo mun idoso
fundo municipal do idoso - fundo municipal do idoso,1.0,fundo mun idoso
uniao central brasileira da igreja adventista do setimo dia - iasd hortolandia  jardim nova hortolndia,0.7586944103240967,uniao igreja adventista
uniao central brasileira da igreja adventista do setimo dia - iasd hortolndia  jardim sumarezinho,0.7363190650939941,uniao igreja adventista
uniao central brasileira da igreja adventista do setimo dia - iasd guarulhos  picanco,0.6627833247184753,uniao igreja adventista
uniao central brasileira da igreja adventista do setimo dia - iasd votorantim  parque jatai,0.6402422189712524,uniao igreja adventista
uniao central brasileira da igreja adventista do setimo dia - iasd lins  jardim santa maia,0.6402422189712524,uniao igreja adventista
uniao central brasileira da igreja adventista do setimo dia - iasd hortolandia  central,1.0,uniao igreja adventista
comercio e industria de sorvetes eskimo ltda - eskimo  atacadao cascavelpr,0.7597073912620544,eskimo sorbete
comercio e industria de sorvetes eskimo ltda - eskimo  loja de fabrica capao da canoars i zona nova,0.7515630722045898,eskimo sorbete
comercio e industria de sorvetes eskimo ltda - eskimo  loja de fabrica vacariars,0.7515630722045898,eskimo sorbete
comercio e industria de sorvetes eskimo ltda - eskimo  atacadao itusp,0.7442053556442261,eskimo sorbete
comercio e industria de sorvetes eskimo ltda - eskimo  atacadao cachoeiro de itapemirimes,0.740871787071228,eskimo sorbete
comercio e industria de sorvetes eskimo ltda - eskimo  atacadao tres riosrj,1.0,eskimo sorbete
igreja evangelica assembleia de deus - cerquilho,0.7427005171775818,igreja evangelica assembleia
igreja evangelica assembleia de deus - waldemar hauer,0.7427005171775818,igreja evangelica assembleia
igreja evangelica assembleia de deus - igreja evangelica assembleia,0.7427005171775818,igreja evangelica assembleia
igreja evangelica assembleia de deus - balsamo,0.742700457572937,igreja evangelica assembleia
igreja evangelica assembleia de deus - ieaderp  joquei clube,0.742700457572937,igreja evangelica assembleia
igreja evangelica assembleia de deus - igreja evangelica assembleia de deusvila sao miguel,1.0,igreja evangelica assembleia
raia drogasil sa - droga raia,0.8053322434425354,drogas raia
raia drogasil sa - drogasil,0.8005219101905823,drogas raia
raia drogasil sa - raia drogasil sa,0.8005219101905823,drogas raia
raia drogasil sa - drogasil santo andre,0.8005219101905823,drogas raia
raia drogasil sa - drogaria,0.7973889112472534,drogas raia
raia drogasil sa - drogaraia,1.0,drogas raia
allpark empreendimentos participacoes e servicos sa - allpark empreendimentos participacoes e servicos,0.9357652068138123,al park empreendimentos
allpark empreendimentos participacoes e servicos sa - ed com torre sul,0.9357650876045227,al park empreendimentos
allpark empreendimentos participacoes e servicos sa - shop west plaza,0.9357650876045227,al park empreendimentos
allpark empreendimentos participacoes e servicos sa - ed com merit office  mall,0.9334539175033569,al park empreendimentos
allpark empreendimentos participacoes e servicos sa - allpark,0.8954654932022095,al park empreendimentos
allpark empreendimentos participacoes e servicos sa - allpark empreendimentos participacoes e servicos ltda,1.0,al park empreendimentos
banco bradesco sa - bradesco pa feira grande al,0.6667678952217102,bradesco
banco bradesco sa - bradesco pa ibirataia ba,0.6667678952217102,bradesco
banco bradesco sa - bradesco paa taquaral de goias go,0.6667678952217102,bradesco
banco bradesco sa - bradesco pa bairro agua verde  urb curitiba pr,0.6667678952217102,bradesco
banco bradesco sa - bradesco paa mansidao ba,0.6667678952217102,bradesco
banco bradesco sa - bradesco pa avenida adolfo pinheiro  urb sao paulo sp,1.0,bradesco
syntech agro ltda - syntech agro ltda,0.44652655720710754,kalytex seguranca
drytec service ltda - drytec,0.4274543523788452,kalytex seguranca
banco santander brasil sa - agro querenciamt,0.4117622375488281,kalytex seguranca
tecsul agro ltda - tecsul agro,0.40739694237709045,kalytex seguranca
secretaria de estado da saude - comp c p neces rel dep qui em cenas abertas de uso un i,0.38798993825912476,kalytex seguranca
andrea carvalho de macedo - qualytech const e assesso tec em seg alimt e dietetica,1.0,kalytex seguranca
fundo municipal de cultura  fmc - fundo municipal de cultura  fmc  batalha,0.9361454844474792,fundo muni
fundo municipal de cultura  fmc - fmc  fundo municipal de cultura,0.8618607521057129,fundo muni
fundo municipal de cultura - fundo municipal de cultura de pedras de fogo,0.8594818115234375,fundo muni
fundo municipal de cultura  fmc - fundo municipal de cultura,0.8489476442337036,fundo muni
fundo municipal de cultura  fmc - fundo municipal de cultura de santo cristo,0.8481783270835876,fundo muni
fundo municipal de cultura - fundo municipal de cultura,1.0,fundo muni
fundo municipal de educacao  fme - fundo municipal de educacao,0.9029095768928528,fundo mun de educacão
fundo municipal de educacao  fme - fundo municipal de educacao fme,0.9029095768928528,fundo mun de educacão
fundo municipal de educacao  fme - fme  alto paraiso de goiasgo,0.8465837240219116,fundo mun de educacão
fundo municipal do meio ambiente  fmma - fundo municipal do meio ambiente  fmma,0.7650274634361267,fundo mun de educacão
fundo municipal de esporte e lazer  fmel - fundo municipal de esporte e lazer  fmel,0.7650274634361267,fundo mun de educacão
fundo municipal de educacao  fme - fundo municipal de educacao  fme,1.0,fundo mun de educacão
fleury sa - fleury medicina e saude,0.8577222228050232,sapore
fleury sa - fleury sa,0.8442525267601013,sapore
fleury sa - clinica luiz felippe mattoso,0.6825219392776489,sapore
sapore sa - cr 4652,0.6813692450523376,sapore
sapore sa - cr 3905,0.6813692450523376,sapore
sapore sa - fleury,1.0,sapore
banco bradesco sa - bradesco pa jardim california  urb indaiatuba sp,0.638394296169281,banco bradesco
banco bradesco sa - bradesco paa sao joao do sabugi rn,0.638394296169281,banco bradesco
banco bradesco sa - bradesco pa chapadao do ceu go,0.638394296169281,banco bradesco
banco bradesco sa - bradesco paa santo expedito sp,0.638394296169281,banco bradesco
banco bradesco sa - bradesco ag buritama,0.638394296169281,banco bradesco
banco bradesco sa - bradesco ag centro empresarial mario henrique simonsen,1.0,banco bradesco
banco santander brasil sa - pa sao carlos sp ii,0.6986576914787292,santander
banco santander brasil sa - jd paulistanosp ii,0.6986576914787292,santander
banco santander brasil sa - fco politospsp,0.6986576914787292,santander
banco santander brasil sa - riopraca maua ii,0.6986576914787292,santander
banco santander brasil sa - porto velho  jatuarana  ro,0.6986576914787292,santander
banco santander brasil sa - av brasilfoz iguacupr,1.0,santander
igreja evangelica assembleia de deus - igreja evangelica assembleia de deus  socorro,0.9555240273475647,asenbleia ebanjelica
igreja evangelica assembleia de deus - cerquilho,0.9451765418052673,asenbleia ebanjelica
igreja evangelica assembleia de deus - waldemar hauer,0.9451765418052673,asenbleia ebanjelica
igreja evangelica assembleia de deus - igreja evangelica assembleia,0.9451765418052673,asenbleia ebanjelica
