sentence1,score,sentence2
lissa z modas ltda - lissa z modas,0.5891740918159485,unib das tintas
veste sa estilo - le lis blanc beaute,0.6208785474300385,unib das tintas
lux solis energy ltda - lux solis energy,0.6257202327251434,unib das tintas
tarjab incorporadora ltda - edificio estilo saude,0.6276404857635498,unib das tintas
sao paulo secretaria da educacao - diretoria de ensino regiao de lins,0.6289256513118744,unib das tintas
lre universo das tintas ltda - universo das tintas,0.0,unib das tintas
congregacao crista no brasil - congregacao crista no brasil de nova olimpia,0.04357725381851196,congregacao brasil crista
congregacao crista no brasil - congregacacao crista no brasil,0.04359304904937744,congregacao brasil crista
congregacao crista no brasil - congregacao crista no brasil  retiro,0.04651784896850586,congregacao brasil crista
congregacao crista no brasil - congregao crista no brasil,0.05809217691421509,congregacao brasil crista
congregacao crista no brasil - casa de oracao  mendonca  central,0.05809217691421509,congregacao brasil crista
congregacao crista no brasil - congregacao crista no brasil,0.0,congregacao brasil crista
banco santander brasil sa - campo belo ispsp,0.31952887773513794,canpo belo
sociedade educacional iesp  sao paulo ltda - unidade de ensino iesp  colinas do tocantis,0.3520336151123047,canpo belo
bolognesi empreendimentos ltda - cond fazenda esperanca 77  campo belo ii  lt 17 q f1,0.3681938052177429,canpo belo
bolognesi empreendimentos ltda - cond fazenda esperanca 250 campo belo iii lt 06 q g3,0.3681938052177429,canpo belo
bolognesi empreendimentos ltda - cond fazenda esperanca 273 campo belo iii lt 55 q i2,0.3681938052177429,canpo belo
instituto educacional de sao paulo ltda - iesp campo belo,0.0,canpo belo
mitra arquidiocesana de londrina - paroquia de santo antonio,0.06173950433731079,mitra santo
mitra diocesana de santo andre - paroquia de santo antonio,0.06536120176315308,mitra santo
arquidiocese de campinas - paroquia santo antonio de santana galvao,0.08565831184387207,mitra santo
mitra da arquidiocese de porto alegre - paroquia santo antonio,0.16019433736801147,mitra santo
mitra diocesana de campo mourao - paroquia santo antonio,0.1998225450515747,mitra santo
mitra arquidiocesana de sao paulo - paroquia santo antonio,0.0,mitra santo
fundo municipal do idoso - fundo municipal do idoso  mara rosa,0.055324673652648926,fundo mun idoso
fundo municipal de direitos do idoso - fundo municipal do idoso,0.055324673652648926,fundo mun idoso
fundo municipal de direitos do idoso - fundo municipal do idoso municipio de urucui  pi,0.05532485246658325,fundo mun idoso
fundo municipal de direitos do idoso - fundo idoso de vista gauchars,0.060107290744781494,fundo mun idoso
fundo municipal de direitos do idoso - conselho municipal de direito dos idosos,0.07039809226989746,fundo mun idoso
fundo municipal do idoso - fundo municipal do idoso,0.0,fundo mun idoso
uniao central brasileira da igreja adventista do setimo dia - iasd hortolandia  jardim nova hortolndia,0.24130558967590332,uniao igreja adventista
uniao central brasileira da igreja adventista do setimo dia - iasd hortolndia  jardim sumarezinho,0.26368093490600586,uniao igreja adventista
uniao central brasileira da igreja adventista do setimo dia - iasd guarulhos  picanco,0.33721667528152466,uniao igreja adventista
uniao central brasileira da igreja adventista do setimo dia - iasd votorantim  parque jatai,0.35975778102874756,uniao igreja adventista
uniao central brasileira da igreja adventista do setimo dia - iasd lins  jardim santa maia,0.35975778102874756,uniao igreja adventista
uniao central brasileira da igreja adventista do setimo dia - iasd hortolandia  central,0.0,uniao igreja adventista
comercio e industria de sorvetes eskimo ltda - eskimo  atacadao cascavelpr,0.24029260873794556,eskimo sorbete
